answer	qid
The squirrel drink the bowl 's water .	blogs-04-11
The narrator place the bowl on the deck in order for Benjamin to drink the bowl 's water .	blogs-04-12
The bird organize themselves on the deck 's railing in order for the bird to wait .	blogs-04-13
keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside	blogs-04-14
An Eagle	fables-03-13
The eagle	fables-03-14
A countryman , who was a witness of the encounter ,	fables-03-15
A countryman , who was a witness of the encounter ,	fables-03-16
owned a drinking vessel	fables-03-17
A countryman , who was a witness of the encounter ,	fables-03-18
escaped	fables-03-19
escaped	fables-03-20
his exertions	fables-03-21
greeted Alyssa and they both had some lemonade to drink	mc500.train.0.13
went to a restaurant for dinner	mc500.train.0.14
no yes	mc500.train.0.15
no yes	mc500.train.0.16
said , `` I think the newspaper is here	mc500.train.23.16
Andrew 's dad say , `` I think the newspaper be here .	mc500.train.23.17
He	mc500.train.23.18
The people and animals at the circus	mc500.train.23.19
picked up the newspaper and brought it to his dad	mc500.train.23.20
went to the circus	mc500.train.23.21
He	mc500.train.23.22
Kelly wake up one morning and go outside to her back yard .	mc500.train.18.9
collected all of the flowers	mc500.train.18.17
was in a hurry because it was Mother 's Day	mc500.train.18.18
in diapers	mc500.train.18.19
After Kelly collected all of the flowers	mc500.train.18.20
After Kelly collected all of the flowers	mc500.train.18.21
