answer	qid
Heated exertions , man slake thirst draught horn , Eagle knocked hand , spilled contents upon ground	fables-03-11
Eagle swooped upon Serpent seized talons intention carrying devouring	fables-03-12
the Serpent the Eagle	fables-03-13
the Serpent the Eagle	fables-03-14
the Serpent the Eagle	fables-03-15
the Serpent the Eagle	fables-03-16
owned drinking vessel tried help eagle escape	fables-03-17
the Serpent the Eagle	fables-03-18
owned drinking vessel tried help escape	fables-03-19
revenge Serpent poison man 's drinking-horn	fables-03-20
the Serpent the Eagle	fables-03-21
She went to Miami to visit some friends .	mc500.train.0.1
Ellen ordered salad	mc500.train.0.2
the Miami the Ellen the Rachel the Kristin the Alyssa	mc500.train.0.3
She traveled from Atlanta .	mc500.train.0.4
Alyssa spend time friends	mc500.train.0.5
They stayed the night because they were tired.	mc500.train.0.6
the Miami the Ellen the Rachel the Kristin the Alyssa	mc500.train.0.7
the Miami the Ellen the Rachel the Kristin the Alyssa	mc500.train.0.8
catfish	mc500.train.0.9
eating , ladies went back Ellen 's house fun	mc500.train.0.10
The girls went to a restaurant for dinner.	mc500.train.0.11
at Ellen	mc500.train.0.12
Ellen greeted Alyssa lemonade	mc500.train.0.13
girls went restaurant	mc500.train.0.14
Alyssa was happy to spend time with her friends again.	mc500.train.0.15
After going swimming and laying out, she went to her friend Ellen's house.	mc500.train.0.16
It was Saturday afternoon and Andrew was bored.	mc500.train.23.1
Saturday afternoon Andrew bored	mc500.train.23.2
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.3
Andrew looked outside window saw newspaper	mc500.train.23.4
On the front was a picture of an elephant.	mc500.train.23.5
He had been watching TV all day.	mc500.train.23.6
told , `` 's nothing ! ''	mc500.train.23.7
in town	mc500.train.23.8
The circus was in town!	mc500.train.23.9
`` Yes , , ' Andrew 's dad said , 'but first need feed ''	mc500.train.23.10
the Andrew	mc500.train.23.11
told , `` 's nothing ! ''	mc500.train.23.12
"He told his dad, ""There's nothing to do!"""	mc500.train.23.13
"He told his dad, ""There's nothing to do!"""	mc500.train.23.14
The elephant even went down a slide!	mc500.train.23.15
told , `` 's nothing ! ''	mc500.train.23.16
"Andrew's dad said, ""I think the newspaper is here."	mc500.train.23.17
the Andrew	mc500.train.23.18
town !	mc500.train.23.19
told , `` 's nothing ! ''	mc500.train.23.20
told dad , `` 's nothing ! ''	mc500.train.23.21
the Andrew	mc500.train.23.22
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.2
Kelly woke one morning went outside back yard	mc500.train.18.3
going give mom biggest , bunch flowers mother ever seen	mc500.train.18.4
Kelly collected flowers , went inside tied together string	mc500.train.18.5
hurry Mother 's Day flowers mom woke give present	mc500.train.18.6
in a hurry	mc500.train.18.7
in a secret spot	mc500.train.18.8
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.9
hurry Mother 's Day collect flowers woke present	mc500.train.18.10
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.11
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.12
red ones big , ones small , green ones middle	mc500.train.18.13
, flowers secret spot	mc500.train.18.14
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.15
Finally , woke 8:30 , Kelly excited !	mc500.train.18.16
hurry Mother 's Day collect flowers mom woke give present	mc500.train.18.17
hurry Mother 's Day collect flowers woke	mc500.train.18.18
hoped Morgan , still diapers , would n't find flowers eat	mc500.train.18.19
After that, she had to hide the flowers in a secret spot.	mc500.train.18.20
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.	mc500.train.18.21
