answer	qid
called her friends Kristin and Rachel to meet at Ellen 's house	mc500.train.0.10
to a restaurant	mc500.train.0.11
at Ellen 's house	mc500.train.0.12
It be Saturday afternoon and Andrew be bore .	mc500.train.23.1
He have be watch TV all day .	mc500.train.23.2
outside the window	mc500.train.23.3
looked outside the window and saw the newspaper by the door	mc500.train.23.4
On the front	mc500.train.23.5
He have be watch TV all day .	mc500.train.23.6
read the story	mc500.train.23.7
in town	mc500.train.23.8
Andrew	mc500.train.23.9
can	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
said , `` I think the newspaper is here	mc500.train.23.12
at the circus	mc500.train.23.13
He ask his dad , `` Can we go ? ''	mc500.train.23.14
He	mc500.train.23.15
to her back yard	mc500.train.18.1
Kelly wake up one morning and go outside to her back yard .	mc500.train.18.2
woke up one morning and went outside to her back yard	mc500.train.18.3
She	mc500.train.18.4
woke up one morning and went outside to her back yard	mc500.train.18.5
collected all of the flowers	mc500.train.18.6
in a secret spot	mc500.train.18.7
of the flowers	mc500.train.18.8
was in a hurry because it was Mother 's Day	mc500.train.18.10
Finally	mc500.train.18.11
Kelly wake up one morning and go outside to her back yard .	mc500.train.18.12
The red ones	mc500.train.18.13
was worried	mc500.train.18.14
She	mc500.train.18.15
was in a hurry because it was Mother 's Day	mc500.train.18.16
There	fables-06-16
The mouse	fables-06-17
The lion lose temper and seize the mouse with the paw of the lion .	fables-06-18
The lion	fables-06-19
was a lion	fables-06-20
The mouse	fables-06-25
awaked because a mouse ran into the face of the lion	fables-06-26
lost temper and seized the mouse with the paw of the lion	fables-06-27
There once be a lion .	fables-06-28
storm	blogs-03-16
storm	blogs-03-17
The narrator	blogs-03-18
in Louisiana	blogs-03-19
The narrator	blogs-03-20
The oven	blogs-06-16
The husband of the narrator	blogs-06-17
An oven	blogs-06-18
shut the door of the oven in order to prevent the fire spreading	blogs-06-21
owned a house and owned the oven attempted for the husband of the narrator to retrieve the group of	blogs-06-22
A fox	fables-01-14
The fox	fables-01-15
The fox	fables-01-16
The crow	fables-01-17
There	fables-01-18
There	fables-02-19
because the lion wanted to eat the bull	fables-02-20
watched the bull and salivated because the lion wanted to eat the bull	fables-02-21
watched the bull and salivated because the lion wanted to eat the bull	fables-02-22
There	fables-02-23
The police	blogs-01-19
A summit meeting named G20 summit	blogs-01-20
A summit meeting named G20 summit	blogs-01-21
The people	blogs-01-22
A summit meeting named G20 summit	blogs-01-23
The police	blogs-01-24
The stork	fables-04-14
The stork	fables-04-15
served some soup in a flat and large dish	fables-04-16
The stork	fables-04-17
The narrator	blogs-05-16
was a group of students and a narrator	blogs-05-17
was a group of students and a narrator	blogs-05-20
He	fables-05-14
began to be annoyed by the fox	fables-05-15
An agriculturist	fables-05-16
long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man	blogs-02-17
A young man	blogs-02-18
A young man	blogs-02-19
long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man	blogs-02-20
The bird drink the bowl 's water .	blogs-04-15
An eagle	fables-03-22
The eagle	fables-03-23
swooped toward a serpent and seized it in order for he to devour it	fables-03-24
An eagle	fables-03-25
A countryman who owned a drinking vessel	fables-03-26
in the drinking	fables-03-27
did n't throw any rocks	mc500.train.25.2
Maxine	mc500.train.25.3
no yes	mc500.train.0.18
Alyssa	mc500.train.0.19
Andrew 's dad say , `` I think the newspaper be here .	mc500.train.23.23
left to bring home to the goldfish	mc500.train.23.24
collected all of the flowers	mc500.train.18.22
in a hurry	mc500.train.18.23
A Lion asleep in his lair	fables-06-10
in order to catch a big game	fables-06-11
The mouse	fables-06-12
recognized the voice of the lion	fables-06-13
got entangled in a net which had been spread for game by some hunters	fables-06-14
more ado	fables-06-15
The lion	fables-06-21
lost temper and seized the mouse with the paw of the lion	fables-06-22
set to work to gnaw the ropes with its teeth , and succeeded before long in setting the Lion free	fables-06-23
set to work to gnaw the ropes with its teeth , and succeeded before long in setting the Lion free	fables-06-24
The narrator	blogs-03-10
An area of a neighborhood of the narrator	blogs-03-11
The tree	blogs-03-12
The narrator	blogs-03-13
began to be concerned because -- if the first tree were to later fall , and were to later fall on the house of the narrator	blogs-03-14
My wife , our five children , and our dog ,	blogs-03-15
The oven begin to be break , and the fire extinguisher eliminate the fire .	blogs-06-10
to the ceiling of the house	blogs-06-11
The fire	blogs-06-12
shut the door of the oven in order to prevent the fire spreading	blogs-06-13
at 350 degrees	blogs-06-14
went to get a batch of cookies and found them in flames	blogs-06-15
So excited about my new range	blogs-06-19
Nothing	blogs-06-20
There once be a crow .	fables-01-8
in the beak of the crow	fables-01-9
A Crow	fables-01-10
A fox	fables-01-11
said that the beauty of the bird was incomparable	fables-01-12
loudly in order for she	fables-01-13
my dear friend , what in the world makes you	fables-02-12
A lion	fables-02-13
because the lion wanted to eat the bull	fables-02-14
advised the bull to remove every horn of the bull because every horn of the bull was ugly	fables-02-15
because every horn of the bull was ugly	fables-02-16
began to be hungry and decided to attempt to kill the bull	fables-02-17
The lion	fables-02-18
The police	blogs-01-14
things	blogs-01-15
because it disagreed about a view	blogs-01-16
rebelled and created riot	blogs-01-17
Police be in full riot gear to alleviate the violence .	blogs-01-18
with great relish	fables-04-9
The stork	fables-04-10
of the stork	fables-04-11
A clever fox invite a stork to dine .	fables-04-12
in a flat and large dish	fables-04-13
stepped over the slip	blogs-05-10
that the slip had fallen because the elastic of the slip was dysfunctional	blogs-05-11
The narrator	blogs-05-12
at my underwear round my ankles	blogs-05-13
looked at my underwear round my ankles , looked at the class , looked back at the garment , carefully stepped out of it , said , `` Oh dear look , what on earth can that be	blogs-05-14
I	blogs-05-15
of students and a narrator	blogs-05-18
into a bottom drawer of the desk	blogs-05-19
quickly caught fire and was all burnt up	fables-05-9
The agriculturist set a	fables-05-10
The agriculturist	fables-05-11
because the fox ran into a field	fables-05-12
The corn	fables-05-13
when he crashed his motorbike	blogs-02-13
on the front yard	blogs-02-14
A young man	blogs-02-15
The narrator	blogs-02-16
on the deck in order	blogs-04-10
The squirrel drink the bowl 's water .	blogs-04-11
The narrator place the bowl on the deck in order for Benjamin to drink the bowl 's water .	blogs-04-12
The bird organize themselves on the deck 's railing in order for the bird to wait .	blogs-04-13
keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside	blogs-04-14
An Eagle	fables-03-13
the Serpent	fables-03-14
A countryman , who was a witness of the encounter ,	fables-03-15
A countryman , who was a witness of the encounter ,	fables-03-16
owned a drinking vessel	fables-03-17
A countryman , who was a witness of the encounter ,	fables-03-18
escaped	fables-03-19
the Serpent spat some of his poison into the man 's drinking-horn	fables-03-20
his exertions	fables-03-21
in a beautiful pond	mc500.train.25.1
Will	mc500.train.111.2
inside	mc500.train.111.3
over to the living room	mc500.train.111.4
greeted Alyssa and they both had some lemonade to drink	mc500.train.0.13
went to a restaurant for dinner	mc500.train.0.14
no yes	mc500.train.0.15
no yes	mc500.train.0.16
Alyssa	mc500.train.0.21
After eat , the lady go back to Ellen 's house to have fun .	mc500.train.0.22
said , `` I think the newspaper is here	mc500.train.23.16
Andrew 's dad say , `` I think the newspaper be here .	mc500.train.23.17
He	mc500.train.23.18
The people and animals at the circus	mc500.train.23.19
picked up the newspaper and brought it to his dad	mc500.train.23.20
went to the circus	mc500.train.23.21
He	mc500.train.23.22
Kelly wake up one morning and go outside to her back yard .	mc500.train.18.9
collected all of the flowers	mc500.train.18.17
was in a hurry because it was Mother 's Day	mc500.train.18.18
in diapers	mc500.train.18.19
After Kelly collected all of the flowers	mc500.train.18.20
After Kelly collected all of the flowers	mc500.train.18.21
