score	sentiment	split	text
5	pos	train	If you are planning to visit any Claim Jumper May I suggest one thing, bring your appetite. The menu so vast and the food so plentiful I promise you will leave with a doggie box because you won't be able to fit what left over in a bag. The food has always been above average along with the service. However I do believe they should open another Claim Jumper in another section of town because on busy nights the wait to be seated can last as long as one to two hours, while waiting to get seated try snuggling up to the full service bar that caters to the family and offers great Hor'devours but I must warn you the appetizers can be so filling you won't have room for dinner. I must say Claim Jumper is by far one of my most favorite restaurants of all times!
5	pos	train	"As a Southerner living in Vermont I could not wait to sample the BBQ at Finkerman's. And now, having done so, I cannot wait to go back. My boyfriend and I made the quick trip from Burlington to Montpelier on a Sunday. We had no trouble being seated and were immediately pleased with the atmosphere. I have read other complaints about the noise but, as it was not crowded, this was not an issue for us. I definitly think the atmosphere will improve with age- I am used to and prefer a more ""rustic"" setting for BBQ. As far as it not being a ""romantic"" atmosphere (a few reviewers commented on this), when has BBQ ever been romantic. Regardless of where one consumes ribs, I find nothing attractive about a sauce smothered face and hands. (On second thought...) Over all our meal was great. I had the plate of pulled pork, which I will have again when I return. My boyfriend had the ribs, which I sampled, and loved them. I am not really a fan in general but was impressed with the amount of meat each peice had. As for the sides, the cornbread was good but a little too dry. The fries were excellent- perfect amount of salt. The jalapeno cheese grits could of used more cheese but considering grits are about as common in Vermont as a snowless winter, I was happy. The candied sweet potatoes were also good but I think next time I'll with the greens route. I definitly plan on returning to Finkerman's and only hope the ""want"" for BBQ in this area will stick around. I would hate to see a restaurant like this close its doors."
5	pos	train	I stopped by Two Rivers to celebrate my sisters engagement on Valentines Day. The staff was friendly and helpful. We enjoyed a champagne toast and heart shapped ravioli for the holiday. I didn't have dessert but everyone else raved about the carrot cake. The restaurant has a friendly neighborhood feel to it as the staff greated most of patrons by name. We had a great time and will return.
5	pos	train	Best country fried steak!
5	pos	train	Very good chinese food for Fairfield County. We enjoyed our meals very much, especially General Tsou's Chicken and the Chilean Sea Bass in black bean sauce. Great wine selection and very good service. We will return for sure!
5	pos	train	The best Mexican food I've tasted in a long time!! Very fresh, very authentic and very reasonable!!! I highly recommend it !!
5	pos	train	Great food. We went at a slow time so I think we got extra attention. Good prices. We shared the blackened chicken, crab cakes, and vodoo crawfish, everything was excellent. I will definitely go again.
5	pos	train	Great as always. I'm systematically going through the menu and have yet to find something that isn't good. Kudos to the Cuban Mojo and Carribean Dip. Steak is good, but not as flamingoish as other dishes. Try a scone, even if you haven't liked them in the past. Servers are great for a table of 2 or a table of 10.
5	pos	train	We tried this restaurant based on the previous review, very encouraging. Also some friends of ours mentioned it as the place where they usually go when they want to eat meat. So there we went today. As a starter, we had a Soup du Jour made of crab, shrimp, clam - out of this world! I then had a Big Willy sandwich and my wife a pork sandwich. The meat was exquisite, the hot sauce was tasty, the portions generous, and the service very friendly...... We'll definitly go again!...
5	pos	train	Strange to find a great steak in a seafood restaurant, but if the seafood is as good as the steak was, it must be extraordinary. The caesar salad was almost as good as Hotel Roanoke's caesar salad. Almost as good because the taste was as good but the lettuce was a bit wilted with few crisp pieces.
5	pos	train	If you are interested in a good Dungeness Crab Sandwich go to Fisherman's Wharf, but, if you are looking for an great Dungeness Crab Sandwich, then you should head to Pacifica, to an ocean front restaurant called Nick's, just off scenic Highway One, 15 minutes south of San Francisco. Nick's offers spectacular ocean views from almost every seat and during the winter, you can enjoy the sight and sound of the monster waves crashing against the rocks from the comfort of your table. Nicks has been a staple of Rockaway Beach in Pacifica, since 1927, it has been owned and operated by the Gust family since its inception. Nick's offers breakfast, lunch, and dinner menus, has a full service bar and caters banquets. Oh yes, I almost forgot, if you drink too much while at the bar, no problem, you can crash at the Sea Breeze Motel also owned by the Gusts, it's located next door, the Sea Breeze, also offers incredible ocean views. Nick' is open seven days a week and has ample parking.
5	pos	train	You never leave hungry. Their portions are XXXL. More than a normal person can eat. Highly recommend this restaurant. It is a family dining establishment. No liquor. 600 Block of Derby St. in Pekin, Illinois.
5	pos	train	"Gran Sabana Restaurant features Puerto Rican, Cuban and Caribbean foods for Lunch and Dinner. This family-owned-and-operated establishment brings a new cuisine to the Triangle. The Puerto Rican and Cuban Cuisines are among the most flavorful in the world, they have their roots in the Spanish, African, and Taino Indian cooking. The diverse combination of cooking styles yield unique flavors. They are amazingly tasty, earthy, compelling, heck pick your superlative. They pretty much all work. We are so pleased to tell you that the Triangle Area finally has a Puerto Rican and Cuban restaurant. It's called Gran Sabana and its located at 4853 Hwy 55 at the Intersection with Hwy 54  Exit 278 of I-40, not far from from the South Point Mall in Durham, North Carolina. The food at Gran Sabana is lip smacking good. Every meal is made fresh and that fresh food alone will get you in the door, but their excellent, friendly service will keep you coming back for more. The Yuca frita is sensational. They take chunks of yucca root, boil and then deep fry it and serve it with a Mojo [Garlic/Cilantro Dip]. The texture is firm, Crispy, but not chewey. The Tostones, plantains cut into disks, deep fried, and served with more Mojo is real tasty. The main dishes are diverse and awash in a sea of history and tradition. Consider the Ropa Vieja. And how about the show stopper, the Pernil or Lechon Asado [Roast Pork]. Cooked for 7 hours until it literally falls apart, this dish defies description. Tender, astonishingly flavorful, it is a wonder to taste. And for dessert, try the home made ""Flan"" [Spanish Custard] or the ""Tres Leches"". A cake made using condensed, evaporated and whole milks topped with a whipped cream it is absolutely to die for. The cake is moist because the milks are poured over it as it comes from out of the oven. Served cold, it was sensational. Visit them soon and see what they have waiting for you. Award-Winning Food All of these homemade meals are delicious and made from scratch. Gran Sabana has received recognition for their great tasting Lunch and Dinner foods on several occasions. When you come by, try the lunch special  a complete meal featuring Meat, Rice, Beans and Plantains. Banquets and Catering Can seat 90+ persons comfortably for lunch, or dinner meetings or celebrations. Many have already hosted events at Gran Sabana such as banquets, parties, company parties, clubs, and churches. Their catering services offer an entire menu for lunch, or dinner to the surrounding cities."
5	pos	train	2 Rivers is the gem of lower Manhattan. This little American bistro offers a pleasant atmosphere with delicious cuisine that is surprisingly inexpensive. It's a great lunch place with a decent happy hour crowd. They offer a brunch on Sunday that is to die for. In addition to this, they might have the best burger in lower Manhattan - which is saying quite a bit! I'll definitely go back.
5	pos	train	Greatest hibachi grill I've ever been to.
5	pos	train	"An overwhelmingly pleasant experience. We invited family from out of town to join us. My brother stated after dinner that he would drive the 80 miles to come again. We were pleased with every aspect of the dining experience. The food portions are beyond description. The taste and quality of the ingredients are second to none. And the friendly staff makes you feel your at ""Mama Roberto's"" dining room table. If you haven't tried it, please do so. You won't be disappointed."
5	pos	train	wonderful food, wonderful service
5	pos	train	My husband and were visiting Vancouver and we happened across this restaurant while walking along Coal Harbour. This has to be the best patio in the city. The food and service were wonderful. We would definately return!
5	pos	train	In a little cottage nestled on Rose Street in downtowm Pleasanton is a gem of a find. Country French decore and welcoming hosts. Claude is the chef and offers a wide variety daily of French country cooking prepared lovingly and with great expertise. The fare ranges from the peasant stew of rabbit and fresh vegetables wonderfuly seasoned, to escargot, to beef in pastry shell with pate. Whatever you choose your experience will be memorable. Dominique treats you as if you were an honored guest in her home. The prices are moderate to high, but the value is definately there! Reservations are a must! The wine menu is small but offers a good selection, and the desserts are excellent. Don't miss this one!
5	pos	train	This bar has the friendliest people and they have the best mussels you will ever eat. I recommend the crab bread also its just a great place.
5	pos	train	Best value for the $$. You can't beat all you can eat shellfish.
5	pos	train	Thought the food was excellent. A previous reviewer said the food was bland, but obviously they don't know that Pa dutch and Amish food is supposed to be bland.I wouldn't even say it is bland, just simple and old fashioned. I grew up with this cooking and found it almost as good as my grandmothers. Very large selection to choose from. One person in our party is even a vegetarian and she left full. We will return again as soon as we get out that way!
5	pos	train	Upon hearing it was our first visit, the head chef came out and welcomed us to the restraint and gave us a complementary shrimp cocktail (yummy). The only mix-up was on the drinks but they were nice. The Arnold Palmer was very tart and required much sugar to tone it down. The Prime Rib and Teriyaki Steaks were perfect. The Mocha Cake desert was the best< I have ever had. The kitchen noise was a bit much as it is exposed to the diners. Basically, the room could sure use some sound deadening material as it is comprised of mostly woods, metals and glass. We truly enjoyed the experience and will return but will ask for a booth away from the kitchen noise.
5	pos	train	Atomic Cafe is so unique for Lexington! The restaurant is all about the patio! (Especially with our new smoking ban.) The food is always excellent and the presentation is nice too. Add excellent tropical drinks and live bands on the weekends and you have my favorite spot in town!
5	pos	train	They had an 8oz. Sizzler Dinner with salad, wild rice and california vegetables on special for $11.75. They had house wine (Crow Canyon) for $4.50 a glass or $12 per bottle. The salad was crisp, the meat cooked and seasoned superbly, and the wine was smooth. I got much more than I was expecting at a hotel bar!
5	pos	train	This is the best restaurant in the Metrowest part of Boston. It is the best kept secret and is a real dinning experence. Fava is much better than the better known resturants in the Metrowest area.
5	pos	train	"Absolutely fantastic! Not only is the food delish, but the portions are tremendous. The attention to detail to make this place truly ""New York style"" is wonderful."
5	pos	train	This area is filled with run of the mill chains. This restaurant is so unique! one of a kind with truly superior food and service than anything in the area.
5	pos	train	This is by far the best thai food I have had in all the thai resturants in all of San Diego county. Excellent!! It is a very small resturant located in the Hilltop area of San Diego.
5	pos	train	Very good food! Loved the potato scramble thing and that smoothy asai (spelling?) bowl. Sad that it burnt down. :-( Note from We8there.com: Cafe Brasil re-opened 11/07/04 
5	pos	train	"This is by far a hidden gem. On the outskirts of the little city of Decatur, quite unassuming yet decorative, sits a veritable Diamond in the Rough. In a cafe-like atmosphere,a laid-back artsy type waiter serves you with attentiveness and flair. You can even mosey over and shop while you wait in their Candle, Soap, potion/notions, & cards area. Smells of honey and ginger intoxicate your senses and entice you into a calm before eating. They save the best, in my opinion, for last..they have on the menu, ""Very Good Chocolate Cake""...that's an understatement! In all my travels, fine dining and every level in between .. that was by far the ""Best slice of chocolate cake you'll ever eat"". You'll always go back for the cake served up with a dollop of fresh whipped cream to smear it in..HEAVENLY"
5	pos	train	From the delicious bread/fabulous pastries at the bakery, to their warm staff Pacific Way is one of the best kept secrets on the Oregon Coast! I would recommend the cafe to anyone looking for a good meal.
5	pos	train	My wife had the wine. She enjoyed it very much. She had seafood, but wished she had tried their lobster & steak special. (It was a great price!) I was on a different quest...looking for the best French onion soup I could find. I found the 2nd best I have ever experienced at this restaurant. If you visit this place, don't miss it!
5	pos	train	My friend Michele took her roommate Lara and I to Teaspace and I LOVED it. I am in town from Las Vegas and have to say this place is one of my faves now. I had the shrimp green curry with black rice and jasmine rice (half and half), edamame, unfiltered pearl sake and for dessert, the kaffir lime pie with strawberry sauce. I would love to go again before I leave Atlanta. WIll def. come back when I return. BTW the unfiltered pearl sake is the only sake I have ever liked. I recommend it!
5	pos	train	Wonderful staff, very helpful. Best Thai food in Atlanta. Highly recommend reservations.
5	pos	train	I love this place! The point of Rain Forest is the cool atmosphere, complete with thunder and lightening! The pot roast is great, the rasta pasta is my favorite! The servings are HUGE and there is plenty of cool drinks in souviner glasses. I like this place so much I have also taken guests to the one at Sawgrass Mills Mall in Ft. Lauderdale (Sunrise). It is a tourist spot so I would avoid Fri and Sat night if you are a local, and go early. The one out at Disney shopping is the coolest location because the huge valcano outside and they used to do live bird shows on the sidewalk in the afternoons. I would call first to see if they still do that. This place is fun and the gift shop is fun to look at if you have to wait for a table. I have never waited more than 45 min at dinner and I have never waited more than 10 min for lunch at all. Service has always been perfect and the bathrooms have always been clean...a real plus in my book here in Florida!
5	pos	train	My friends and I went to Table Talk last weekend after they got that write-up in Washingtonian. We were NOT disappointed!!! Although we had to wait 5 minutes for a parking space, the cheerful hostess sat us right away, (party of 6 on a Sunday morning - the place was packed, but service was very quick) and our experience was even more enhanced by the food. Serious comfort food!!!!!
5	pos	train	Italian Opera singing servers, great food and a worldly dinning experience. Also African Caribbean Night At Venuto's World Bistro Chef Soliel is a wonderful exotic cook with personality. Frequenly comes out to the dinning room to dance or play the drums. Enjoy a unique dinning experience Afican-Caribibean
5	pos	train	"All I can say is ""Home Cooking at it's best"", Fresh baked bread and the portions were so big."
5	pos	train	I frequently go to Panda North. It's my favorite restaurant. The food is exquisite, and well as the service and setting. I have been to Panda with just about all my close friends and family. Every single person whom I've gone with loves it too. So if you're in the area, or even if your not I highly suggest that you eat they're wonderfully prepared Chinese Food. It'll be worth the trip. I guarantee it!
5	pos	train	Was met by Bob who was very pleasent and very helpful. The food was great. I will be returning.
5	pos	train	Meraviglioso, wonderful
5	pos	train	I liked Macaroni Grill because it has very good food. The service was so nice. The atmosphere was the best. Price/ Value wasn't that much. The best thing after the atmosphere was that you didn't have to make a reservation so you could just come in and get seated. I would want to go back to Macaroni Grill.
5	pos	train	Great place to get a lobster roll.
5	pos	train	Great Ribs, Meat fell of the bones. Reasonabily priced and good service. Also is a catering place.
5	pos	train	Features French Continental cuisine. Has a wide range of beef, fish, chicken, and pasta selections. The escargots a La Bourguignone was truly outstanding. Served in puff pastry with an exceptional sauce. The beef tenderloin was cooked to perfection and very tender. Servers were continually aware of the status of the table but did not intrude. Wine selections are extensive but pricey. Suggest ordering by the glass.
5	pos	train	Have dined at Dresslers about 8-12 times. It is close to home and have not been dissapointed yet. Will keep going!!
5	pos	train	Warm cozy decor, friendly hosts, outstanding service, outstanding food!!!!!!!,food arrives at your table HOT, can you imagine???? My only complaint is that I can't get past the specials of the day to try the regular menu!!!! You won't be sorry, whatever you order. Treat yourself to the best Italian food on Long Island!!!!!
5	pos	train	One of my favorite restaurants in the world. It is a fantastic place with HUGE sandwiches. We have eaten there several times when on vacations. One of which was Easter- on that day they had a buffet that was delicious. We have made a habit of stopping there on the way to the airport to get sandwiches to go!
5	pos	train	The food is delicious and the service is great. The restaurant does not have a liquor license but gladly allows you to bring whatever you want. Hibachi is food and entertainment combined, while sushi is very fresh and has a lot of variety.
5	pos	train	The atmosphere, which included a 'bluesy' surrounding with plenty of candle light was relaxing and warm. The menu includes rib and pepper steak, to name a few, and a lot of Mediterranean type meals. Even the dinner salad seems gourmet! It is adjacent to a secluded bar 5 miles outside of Fairbanks on the Parks Highway. I highly recommend it.
5	pos	train	I can't really add much to the previous reviews, except to add that there are two additional locations for this great casual restaurant. The original place is in Woonsocket, RI, and their newest location is on Route 1 in South Attletboro, about two miles north of Emerald Square Mall. There are daily specials on weeknights, to lure you out of your own kitchen. Great food, great prices, great variety!
5	pos	train	This is one of the only German restaurants in San Francisco and brings back memories of many meals enjoyed in Germany. If you're looking for outstanding German traditional dishes, this is the place to go. Diners can also select from an extensive beer menu and the staff is always willing to make a great recommendation. They are busy most evenings, but the wait is definitely worthwhile. The decor is very understated, but very similar to the pubs in smaller German towns. It can be a little loud at times, so don't plan on this being the most romantic restaurant. If you're looking for a real treat, try the venison!
5	pos	train	We were greeted with enthusiasm and the food was fantastic. I was not completely familiar wth cajun food so I asked quite a bit of questions. All were answered thouroughly and with excitement. The food was served with a wide variety of sauces from mild to scorned woman hot souce! Woo Baby! That stuff is great! It's a very casual place and the kids absolutely love it.
5	pos	train	All you can eat pizza buffet for $2.99 per person, drinks about a dollar extra. 3 and under are free. They make any pizza you like, even with anchovies, and will deliver desired any amount of desired pizza to your table if you want. They are upbeat and we love to eat there.
5	pos	train	We enjoyed our meal enormously. Service was excellent and the food was delicious. I will return again and will definitely recommend this restaurant to my friends.
5	pos	train	Our party had heard good things about this new spot, so we tried them out on Thursday evening. We were looking for a moderate meal with a little wine and nothing too fussy. What we got exceeded expectations so much so that we stayed longer and spent much more money than we had intended. Our waiter was a real pro--engaging, witty and really sexy. The owner herself stopped by our table frequently to make conversation which added to our feeling of welcome. The music they were playing set a great mood and the room is elegant and sophisticated. The combination of flavours and thoughtfulness that has obviously gone into the Chef's menu makes the food here a bargain at twice the price. His portion sizes are enourmous. Finally, there was a super mix of gay and straight--absent any Yaletown preening, posturing or pretentious.
5	pos	train	This Applebee's is probably the best one that I have ever been to. The service is always top-notch, the food is good tasting and quick-to-arrive, and the prices are very reasonable. They also have special promotions that are run. I deffinately recomend it.
5	pos	train	"This was a fine place! We did not make reservations; however, I would recommend doing so. We were lucky they had an empty table. I had clam chowder. It was fantastic! One of my co-workers thought it was a bit ""peppery"", but I enjoyed it! Everyone loved their choices from the menu. I thought it was a bit pricey, but the rest of the experience made up for the cost."
5	pos	train	What a pleasant evening in Chicago! I ordered the 16 Oz Prime Rib which was delicious!! I couldn't even eat it all. The baked potato was awesome too. Staff is really friendly! Would return!
5	pos	train	Absolutely wonderful!!! The atmosphere was of a beautiful log cabin with a pianist playing soft background music. The meal was terrific. Highly recommend!!!
5	pos	train	"Rodizio was one of the best dining experiences we ever had. I scouted the restaurant reviews before our visit to Salt Lake; they were positive. We were not disappointed. We even returned for lunch two days later. Their signature all-you-can-eat buffet, with grilled meat and vegetables served tableside off of skewers, is pricey for dinner but reasonable for lunch. Grilled meat was ham, beef, turkey (or chicken, I forget) and vegetables. Lamb would have have been great too, but they didn't have it. Perhaps it's because the word ""lamb"" could have political ramifications, even though Americans really serve muton. I understand, if you want the 15% discount, you need to be an LDS missionary."
5	pos	train	It was wonderful. I didnt know Columbia, SC had something that nice
5	pos	train	Chef John Ross' the pioneer of using fresh local cuisine and the first Chef to put Long Island wines on his award winning lists has a wonderful take out spot in the middle of the north fork beaches and wine country on Long island.He serves smoked duck legs,fall off the bone ribs,fresh battered fish fry on Friday nights,chowders and the best rotisserie chicken packed to go. He serves turduckins for the holiday season. Home made rice pudding!! the best you will find. Creamed spinach and other veggie delights too. Bring your own wine!
5	pos	train	Having a choice between 64 wines by the glass blew me away. And the huge wine bottle list offered wines from all over the world and a magnificent champagne list as well. The wine list was over 20 pages! The food was well-balanced and heavenly. I recommend this place to anyone who wants to impress.
5	pos	train	A taste of China in Greenwich, CT. For over 20 years Hunan Gourmet has been pleasing clients with exceptional service and pleasing their taste buds with a variety of foods that share one thing in common - Taste! Every attention to detail is given to the food and service at this Greenwich gem.
5	pos	train	The restaurant was wonderful! The food choices were unique and very well-prepared. Everything was great! What a fabulous place for dinner for two or with friends!
5	pos	train	The food is one of the best I've ever had. The service is great, and the food is ready quickly. They also have great mango juices.
5	pos	train	Very nice, was surprised at the menu. Didn't know they could do so many things with a Pizza! Loved the chicken with the white sauce, would come back for that alone. I really enjoyed the visit. Thanks for coming to DuPont, we needed a good restaurant.
5	pos	train	Authentic Mexican (which is very hard to find) in suburban Philly. Very easy to get to from 476 and 676. I highly recommmend the tampica. The atmosphere is relaxing and romantic if you decided to dine outside. Very nice presentation. For more info, go to www.coyotecrossing.com.
5	pos	train	Owner, bartender, waitstaff, and desert chef all made a point of checking in on our meals/drinks and advising us on selections. We sampled wines to be paired with our entrees, received personal recommendations from the chef from the menu. After our meal, the kitchen staff then directed us to a great local bar. This was a prime example of a hidden--but not buried--treasure. Do not miss it!
5	pos	train	Have had many wonderful dinners at Charlestons, never a bad dinner or service,,, sometimes a little loud. Recommend filet and the garlic mashed potatoes....
5	pos	train	The Flat Rock Grille is a spectacular place to dine. When I go to dine I am always amazed at the daily specials being so diverse but always eye catching. The Wine and beer selection may not be huge but they offer the very best. and the service is top notch. The waiters and waitresses are kind, and very good at taking care of there customers. The Flat Rock Grille is a place where you will truly have a one of a kind experience. TRUST ME!!!
5	pos	train	A friendly and peaceful atmosphere including lit candles and a beautiful mural of an authentic Italian landscape/scenery. The service was prompt and friendly, and the owner, Vito, even approached each table to make sure the guests were completely satisfied. The food was delicious-everything was cooked to perfection! I had fettucine alfredo, which was made with fresh cheeses and garlic, served with golden brown garlic knots. The portions were large and filling; our only regret was not saving our apetite to select from the dessert tray which was brought to our table! Truly a fantastic meal and a real taste of Italy!
5	pos	train	Best restaurant in Nothrern Colorado They just opened and are amazing!!!
5	pos	train	You'll find many Ambassadors and other Diplomats at this American/Italian restaurant, as it is only a few blocks from the UN. With seasonal menus that change, the food is always amazingly delicious, pairing unique flavors, and enticing one to eat something they may never have before (try the skate wing!) Everything is presented so beautifully, you don't want to touch it -- but do - you wont regret it! As a bonus, they give you goat cheese as a spread for your bread -- what a surprising treat!
5	pos	train	The absolutely Best meal and restaurant experience that anyone can have. From the moment you enter till the second you leave, every detail is taken care of. Truly a magnificent way to spend a few hours. The selection of steaks, fresh fish and seafood was perfect. Dinning in the wine cellar also only further adds to the experience.
5	pos	train	"We could not tell from the name what this restaurant is about but we went anyway. I thought I went to fishermen wharf because we end up having live shrimp, crab, oyster, lobster and rock cod all at once. I would like to go back and try that ""funny"" looking ""geo duck"" thing next time because the ladies kept going to visit the ever changing color fish tank for its look. It was a little pricy compare to other Chinese dinner we have had but a real great bargain compare to any seafood restaurant. Not to mention their sake, I lost count of them because they were soooooooo good!!!"
5	pos	train	We went with a group of friends and the Shields Manor Bistro closed the restaurant for our group. We had 2 menu selections - Prime Rib and Stuffed Chicken Breast. Our meal started with a delicious house salad with a balsamic vinagrette dressing - the salad was topped with pears that had been soaked in balsamic vinegar - delicious. The Prime Rib was excellent - It was served with a baked potato and delicious homestyle green beans. The chicken was stuffed with spinach and pine nuts - it was good, but a little dry. It was served with delicious mashed potatoes and the great green beans. For dessert, the Shields had lots to choose from. Chocolate Cake, Cheesecakes, Pies, and even some sugar free choices. I had the apple pie and it was out of this world - it was baked by owner Max Shields. The highlight of the meal was the fabulous service. After owner DeDe Shields prepared our food in the kitchen, she came out and went to each table to welcome everyone and see if everyone was enjoying their meal. All of the wait staff was courteous and friendly - service was excellent. This is a great place for a nice romantic meal. I will go back!
5	pos	train	I have to say the most pleasant dining experience I have had is at the Southside Bistro. The food is outstanding, even food items you don't normally like taste great. The portions are perfect as well as the timing of the courses. The service is the same if there is a crowd or not, simply outstanding. It's not inexpensive but it is worth every penny. Excellent establishment.
5	pos	train	This place is very inexpenisve and an awesome place to eat Chinese Food, hope you locals out in Irvine, CA check this place out !!!!!
5	pos	train	The owner was especially pleasant to talk with and was very dedicated to ensuring he was making authentic Louisiana food. The meal was OUTSTANDING! I had gumbo, my wife roast beef sandwich. We were both very pleased with the atmosphere and the food. Gumbo was just like home, except without the squirrel meat.
5	pos	train	Had some fantastic food at Gyro Kebab! Had chicken gyros, hummus (the best I've had) and alexander kebabs, which were so flavorful. The plates came with many sides dishes. The deserts are yummy too! Service was very friendly and fast. Lots of food for great prices. I'll go back soon!
5	pos	train	A fun place to go in Memphis, anytime. Menu is excellent and food is done in a very creative fashion. Certainly, a happenjing place in downtown and I always look forward to coming here. It's in an area of fine restaurants and things to do.
5	pos	train	We had an awesome night there! Our waitress was really nice and our Cookie Monster dessert was amazing and my chicken salad was delicious, too! And the prices were really reasonable! We are glad we went!
5	pos	train	We had a great time and the servers were very polite.
5	pos	train	Open since 1926. Premier roadfood experience in east Tennessee. Only open for lunch from 11 a.m. to 2 p.m. Daily lunch specials. great burgers, and americana food.. Save room for dessert. Many famous celebrities have eaten here!!
5	pos	train	The food was delicious and the staff was very attentive. Things were rather crowded when we arrived without reservations, and the hostess was very accommodating. The menu offers a terrific selection of Indian Cuisine and is moderately priced. Some of the best service by wait staff that I have had in any restaurant in San Francisco.
5	pos	train	Henry's Soul Cafe is fabulous!
5	pos	train	This Cuban bakery features such delights as guava pie, coconut strudel and strawberry/cream cheese croissants. Open only for breakfast & lunch, the wait can sometimes be long and if they call your number - be ready. They will pass right over it if you are daydreaming! For lunch, they have hot croissants, traditional cuban sandwiches and hot meat pies. Porto's also has amazing cakes, made to order. Try the tres leches cake, guava cake and flan.
5	pos	train	Four of us enjoy ourselves. our waiter was wonderful. he made us feel very welcome. The hamburger I ordered was heaven. Thanks
